Número;Família;Gênero;sp;autor;Hábito;Origem;Substrato;Endemismo
103;Nyctaginaceae;Guapira;graciflora;(Mart. ex Schmidt) Lundell;Arbusto, Árvore;Nativa;Terrícola;sim
134;Ochnaceae;Ouratea;casteneifolia;(DC.) Engl.;Árvore;Nativa;Terrícola;não
89;Ochnaceae;Ouratea;floribunda;(A.St.-Hil.) Engl.;Subarbusto;Nativa;Terrícola;sim
150;Opiliaceae;Agonandra;;;;;;
16;Oxalidaceae;Oxalis;densifolia;Mart. & Zucc. ex Zucc.;Subarbusto;Nativa;Terrícola;sim
104;Piperaceae;Piper;aduncum;L.;Arbusto, Árvore;Nativa;Terrícola;não
117;Piperaceae;Piper;macedoi;Yunck.;Arbusto;Nativa;Terrícola;sim
3130;Piperaceae;Piper;tectoniifolium;Kunth.;Arbusto;Nativa;Terrícola;sim
3135;Piperaceae;Piper;aduncum;L.;Arbusto, Árvore;Nativa;Terrícola;não
26;Poaceae;;;;Erva;;;
33;Poaceae;Paspalum;geminiflorum;Steud.;Erva;Nativa;Terrícola;não
40;Poaceae;Paspalum;foliiforme;S.Denham;Erva;Nativa;Rupícola, Terrícola;não
41;Poaceae;Axonopus;siccus;(Nees) Kuhlm.;Erva;Nativa;Terrícola;não
43;Poaceae;;;;Erva;;;
109;Poaceae;Echinolaena;inflexa;(Poir.) Chase;Erva;Nativa;Terrícola;não
111;Poaceae;;;;Erva;;;
154;Poaceae;;;;Erva;;;
182;Poaceae;;;;Erva;;;
183;Poaceae;Paspalum;sp.;;Erva;;;
7;Polygalaceae;Senega;cuspidata;(DC.) J.F.B.Pastore;;Nativa;;Sim
34;Polygalaceae;Senega;poaya;(Mart.) J.F.B.Pastore;;Nativa;;Sim
45;Polygalaceae;Senega;glochidata;(Kunth) J.F.B.Pastore;;Nativa;;Sim
185;Polygalaceae;Senega;cuspidata;(DC.) J.F.B.Pastore;;Nativa;;sim
66;Proteaceae;Roupala;montana;Aubl.;Arbusto, Árvore;Nativa;Terrícola;não
112;Pteridaceae;Adiantum;raddianum;C.Presl;Erva;Nativa;Rupícola, Terrícola;não
120;Pteridaceae;Pteris;vittata;L.;Erva;Naturalizada;Terrícola;não
123;Pteridaceae;Adiantum;raddianum;C.Presl;Erva;Nativa;Rupícola, Terrícola;não
167;Pteridaceae;Adiantum;raddianum;C.Presl;Erva;Nativa;Rupícola, Terrícola;não
175;Pteridaceae;Adiantum;;;;;;
19;Rubiaceae;Palicourea;officialis;Mart.;Arbusto, subarbusto;Nativa;Rupícola, Terrícola;sim
32;Rubiaceae;Coccocypselum;aurenum;(Spreng.) Cham. & Schltdl.;Erva;Nativa;Terrícola;não
38;Rubiaceae;Sabicea;brasiliensis;Wernham;Subarbusto;Nativa;Terrícola;não
143;Rubiaceae;Coccocypselum;aureum;(Spreng.) Cham. & Schltdl.;Erva;Nativa;Terrícola;não
170;Rubiaceae;Palicourea;deflexa;(DC.) Borhidi;Arbusto;Nativa;Terrícola;não
171;Rubiaceae;Palicourea;marcgravii;A.St.-Hil.;Arbusto;Nativa;Terrícola;não
47;Salicaceae;Casearia;grandiflora;Cambess.;Arbusto, Árvore;Nativa;Terrícola;não
145;Salicaceae;Casearia;sylvestris;Sw.;Arbusto, Árvore, Subarbusto;Nativa;Terrícola;não
94;Sapindaceae;Matayba;guianensis;Aubl.;Arbusto, Árvore;Nativa;Terrícola;não
177;Selaginellaceae;Selaginella;;;;;;
60;Smilacaceae;Smilax;goyazana;A.DC.;Arbusto, Subarbusto;Nativa;Terrícola;não
29;Styracaceae;Styrax;ferrugineus;Nees & Mart.;Arbusto, Árvore;Nativa;Terrícola;não
88;Styracaceae;Styrax;camporum;Pohl;Arbusto, Árvore;Nativa;Terrícola;não
118;Thelypteridaceae;Christella;conspersa;(Schrad.) Á.Löve & D.Löve;Erva;Nativa;Terrícola;não
126;Thelypteridaceae;Christella;conspersa;(Schrad.) Á.Löve & D.Löve;Erva;Nativa;Terrícola;não
127;Thelypteridaceae;Christella;conspersa;(Schrad.) Á.Löve & D.Löve;Erva;Nativa;Terrícola;não
166;Thelypteridaceae;Christella;hispidula;(Decne.) Holttum;Erva;Nativa;Terrícola;não
173;Thelypteridaceae;Christella;;;;;;
90;Urticaceae;Cecropia;pachystachya;Trécul;Árvore;Nativa;Terrícola;não
1;Verbenaceae;Stachytarpheta ;villosa;(Pohl) Cham.;Arbusto;Nativa;Terrícola;sim
36;Verbenaceae;Stachytarpheta ;villosa;(Pohl) Cham.;Arbusto;Nativa;Terrícola;sim
39;Verbenaceae;Lippia;stachynoides var. martiana;(Schauer) Salimena & Múlgura;Arbusto, Subarbusto;Nativa;Terrícola;sim
157;Verbenaceae;Lippia;vernonioides;Cham.;Arbusto;Nativa;Terrícola;sim
91;;;;;;;;
99;;;;;;;;
113;;;;;;;;
121;;;;;;;;
128;;;;;;;;
165;;;;;;;;
174;;;;;;;;
179;;;;;;;;
